archivo,pendiente,error_pendiente,intercepto,error_intercepto,R2
IvsV_PY_Vg-1V_010925_Vbias10mV,1316.2551451744782,0.2653471416283119,-2.6078807219444303e-05,1.169561482000611e-06,0.9999919534380475
IvsV_PY_Vg-2V_010925_Vbias10mV,1313.758806346286,0.2927015648823702,-0.00041223184422008207,1.2958448374956626e-06,0.9999901716699997
IvsV_PY_Vg-4V_010925_Vbias10mV,1325.3980533966333,1.5511102552683171,-0.007233311789924278,1.0851812089771897e-05,0.9997288933841759
IvsV_PY_Vg-5V_010925_Vbias10mV,1238.5700265107741,9.594436152812106,-0.018482986384015992,0.00014999134484489635,0.9882582341809898
IvsV_PY_Vg-5V_010925_Vbias10mV_2,1292.9530648442944,5.050917433587121,-0.017677822201481765,7.267579233154207e-05,0.99698748017619
IvsV_PY_Vg1V_010925_Vbias10mV (copy),1307.6589409271803,0.8910697671926595,0.0001786938027427694,3.954887690380946e-06,0.9999080694822345
IvsV_PY_Vg2V_010925_Vbias10mV (copy),1305.8152774861737,2.618263314694973,0.0027925432841533603,1.2903587252759504e-05,0.9992046051623228
IvsV_PY_Vg3V_010925_Vbias10mV (copy),1284.5653128762783,0.585268058799225,0.011994344899333834,6.069734043573308e-06,0.9999588997366049
IvsV_PY_Vg4V_010925_Vbias10mV (copy),1256.7415230951633,1.1065470681526255,0.03946488626873582,3.511997259022676e-05,0.9998465219102831
IvsV_PY_Vg5V_010925_Vbias10mV (copy),1185.999169509131,6.152482752885787,0.10198212338824936,0.0005298717938121239,0.9946998363801223
